model_name,train_acc,train_loss,val_acc,val_loss
mask_dyn10,"[0.22134831460674156, 0.37359550561797755, 0.6286516853932584, 0.7803370786516854, 0.9370786516853933, 0.9775280898876404, 0.9859550561797753, 0.9898876404494382]","[0.8120768824655018, 0.7479829587628333, 0.5693745390083013, 0.36192560207224295, 0.19044258003907927, 0.08347134888590721, 0.05238250129636419, 0.03584501772773651]","[0.2747747747747748, 0.4774774774774775, 0.7387387387387387, 0.8153153153153153, 0.963963963963964, 0.9819819819819819, 0.9774774774774775, 0.9819819819819819]","[0.7882338526012661, 0.6829735150745323, 0.4490941444093043, 0.28619546517058536, 0.1236893616046186, 0.06886890114427686, 0.05133987068794332, 0.040833298020434006]"
mask_dyn10,"[0.2353932584269663, 0.4157303370786517, 0.7292134831460674, 0.9308988764044944, 0.9662921348314607, 0.9741573033707865, 0.9859550561797753, 0.9882022471910112]","[0.8139351479792862, 0.7106729448846217, 0.4956645215495249, 0.2730717721656802, 0.16630764068052006, 0.10713179056647788, 0.06928072558778725, 0.04718512603594514]","[0.26126126126126126, 0.6126126126126126, 0.8783783783783784, 0.9459459459459459, 0.963963963963964, 0.9819819819819819, 0.9684684684684685, 0.972972972972973]","[0.7877572377522787, 0.5987690747589678, 0.36231885219479465, 0.22662004845233652, 0.13630000548856752, 0.09568412320033924, 0.08033315872622503, 0.061316812406755516]"
