mlm_acc_each_epoch,mlm_loss_each_epoch,Mask_Percent_each_epoch
"[0.3263961670908819, 0.41212031849012093, 0.4099927588703838, 0.4348729106913263, 0.4319968553459119, 0.42829268292682926, 0.4179818984217219, 0.4205566513258821, 0.4306531548191434, 0.4096641131408368]","[0.05393897742033005, 0.03476668894290924, 0.023374373093247414, 0.05575049668550491, 0.03930692747235298, 0.03049520030617714, 0.03148765489459038, 0.05099904537200928, 0.026276877149939537, 0.07599128782749176]","[6, 6, 6, 9, 9, 9, 12, 12, 12, 15]"
"[0.3401309913664781, 0.41544965411222134, 0.4337210788699987, 0.43492670490758445, 0.41755343337880857, 0.42171171171171173, 0.4266284896206156, 0.41661504577052794, 0.42080198771481814, 0.4201393633009974]","[0.04206446558237076, 0.02424311265349388, 0.02644074521958828, 0.03465493023395538, 0.037852175533771515, 0.039502136409282684, 0.0453697144985199, 0.07131695002317429, 0.0300612710416317, 0.051157064735889435]","[6, 7, 7, 7, 10, 10, 10, 13, 13, 13]"
"[0.3401442307692308, 0.4101596881679869, 0.42273603082851635, 0.44228817858954844, 0.42534216335540836, 0.42037366548042704, 0.41736136281261327, 0.4047472467337027, 0.41633493479752914, 0.41881094257854823]","[0.07702439278364182, 0.036117106676101685, 0.019706789404153824, 0.025495212525129318, 0.03337181732058525, 0.03975457325577736, 0.053850360214710236, 0.032024092972278595, 0.05546979978680611, 0.05142522603273392]","[6, 7, 7, 7, 10, 10, 10, 13, 13, 13]"
"[0.3198507462686567, 0.41226401287867703, 0.4206219312602291, 0.41883606392602274, 0.4273846461815634, 0.4325600080345486, 0.43017814009661837, 0.41225275946366396, 0.4162482884527613, 0.4009335168451918]","[0.027235671877861023, 0.017733361572027206, 0.023725714534521103, 0.022207248955965042, 0.037653543055057526, 0.04903319850564003, 0.05288133770227432, 0.03725943714380264, 0.07210054248571396, 0.039754051715135574]","[6, 6, 6, 9, 9, 9, 12, 12, 12, 15]"
"[0.3481371087928465, 0.41497559722578986, 0.4103386351975372, 0.4284612418048592, 0.42419266557197594, 0.4253050158156349, 0.4291167332445628, 0.4144491934371984, 0.412330473290894, 0.43006944444444445]","[0.043872278183698654, 0.027666334062814713, 0.022784242406487465, 0.024192295968532562, 0.04109649732708931, 0.030593430623412132, 0.03180093318223953, 0.05808873102068901, 0.040570661425590515, 0.02317427657544613]","[6, 7, 7, 7, 10, 10, 10, 13, 13, 13]"
"[0.3308900523560209, 0.4085171490501084, 0.40720946099613375, 0.42771804062126645, 0.4212708427219468, 0.41935483870967744, 0.41381658595641646, 0.41009019165727173, 0.4129457010625122, 0.3990222114920328]","[0.0463947169482708, 0.03666337579488754, 0.040616877377033234, 0.04865134879946709, 0.047727636992931366, 0.031213756650686264, 0.03611705079674721, 0.04363683611154556, 0.04047153517603874, 0.056964147835969925]","[6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
