mask_percent,mlm_acc_each_epoch,mlm_loss_each_epoch
12,"[[0.037191334646265714, 0.113164672019391, 0.12967732161793669, 0.1408877442811695, 0.14831086199060747, 0.1603544917436752, 0.17459475836994395, 0.17467050446901985, 0.178988032116346, 0.18118466898954705]]","[[0.43110865354537964, 0.19734343886375427, 0.10141978412866592, 0.11868288367986679, 0.09420005232095718, 0.09724688529968262, 0.09591050446033478, 0.09980038553476334, 0.12012286484241486, 0.1300329566001892]]"
11,"[[0.02577021557776493, 0.10968860989510201, 0.13669777814487485, 0.14016684562649706, 0.14504005946972826, 0.15453869662178904, 0.1713884529610969, 0.18030891219955397, 0.1806392995787561, 0.18171305856116296]]","[[0.6252679228782654, 0.1975153535604477, 0.12904402613639832, 0.09128940105438232, 0.07074885070323944, 0.0809844583272934, 0.05728045850992203, 0.10274968296289444, 0.09749305248260498, 0.08936604112386703]]"
10,"[[0.01561648810604685, 0.10677319774832032, 0.13065189758489196, 0.13954966406391864, 0.1432721990194298, 0.15226075903395678, 0.17377882694752134, 0.18984928273106955, 0.19938260395859814, 0.19375340475758127]]","[[0.3684527277946472, 0.1894780695438385, 0.09931488335132599, 0.1037793979048729, 0.0820653960108757, 0.06279155611991882, 0.06440602242946625, 0.10228661447763443, 0.08486369997262955, 0.07534196972846985]]"
9,"[[0.03802661863304313, 0.10997698388872211, 0.12228559991994396, 0.13459421595116583, 0.14229960972680877, 0.15250675472830982, 0.15891123786650654, 0.15971179825878115, 0.16211347943560492, 0.16721705193635544]]","[[0.3519860804080963, 0.15111061930656433, 0.10549525916576385, 0.0726005807518959, 0.08498874306678772, 0.09581427276134491, 0.11440515518188477, 0.11020442098379135, 0.07346420735120773, 0.06037530303001404]]"
8,"[[0.04346368715083799, 0.10860335195530726, 0.12078212290502793, 0.1318435754189944, 0.1377653631284916, 0.15441340782122906, 0.17139664804469273, 0.1840223463687151, 0.17955307262569833, 0.18949720670391063]]","[[0.39103418588638306, 0.14000532031059265, 0.06146891042590141, 0.048165448009967804, 0.09870670735836029, 0.05020808055996895, 0.15105590224266052, 0.09282128512859344, 0.09524542838335037, 0.10942544788122177]]"
15,"[[0.0461121157323689, 0.11687763713080168, 0.1377335744424352, 0.1431585292344786, 0.15111512959614226, 0.16654611211573236, 0.17733574442435202, 0.1802893309222423, 0.181374321880651, 0.18414707655213985]]","[[0.4563680589199066, 0.24945306777954102, 0.18015143275260925, 0.13954386115074158, 0.15785109996795654, 0.09749838709831238, 0.10397782176733017, 0.11619676649570465, 0.14479272067546844, 0.20316949486732483]]"
14,"[[0.01259510261492232, 0.05453615497730324, 0.13752317626750207, 0.1401444920401509, 0.1453871235854485, 0.15785435713829038, 0.17498881145706796, 0.1898216226583978, 0.2023527907422799, 0.2011380346525158]]","[[0.81438809633255, 0.4308779239654541, 0.17277593910694122, 0.12408618628978729, 0.07253345847129822, 0.0812065452337265, 0.07165344059467316, 0.09022298455238342, 0.061459362506866455, 0.08013249188661575]]"
13,"[[0.04063157894736842, 0.11185964912280702, 0.13024561403508772, 0.13936842105263159, 0.14589473684210527, 0.16126315789473683, 0.18294736842105264, 0.19908771929824562, 0.20680701754385966, 0.21333333333333335]]","[[0.37059661746025085, 0.1835874617099762, 0.14499327540397644, 0.09178853780031204, 0.08923434466123581, 0.16365572810173035, 0.08486345410346985, 0.08348588645458221, 0.062178950756788254, 0.09822620451450348]]"
12,"[[0.025898398590146348, 0.10834418818481342, 0.13546854647153475, 0.14098536510612214, 0.14374377442341582, 0.15623323883227339, 0.17171098000153245, 0.18741858861389932, 0.1927055398053789, 0.19025362041222896]]","[[0.5483208894729614, 0.15560336410999298, 0.14361266791820526, 0.10782942920923233, 0.09734654426574707, 0.08946316689252853, 0.05048917979001999, 0.15240882337093353, 0.1029326468706131, 0.11265216022729874]]"
11,"[[0.04105427374989736, 0.11240660152721899, 0.1292388537646769, 0.13457590935216357, 0.14270465555464323, 0.15378930946711553, 0.17513753181706215, 0.19221610969701947, 0.19903111913950242, 0.1943509319320141]]","[[0.39103999733924866, 0.16703206300735474, 0.09864901751279831, 0.11134742200374603, 0.07112004607915878, 0.08511753380298615, 0.10624949634075165, 0.11338484287261963, 0.0710105448961258, 0.1204894408583641]]"
10,"[[0.01405025668738179, 0.08700351256417184, 0.1347383590020715, 0.14032243537782582, 0.14482572277762767, 0.15347203458524722, 0.16851301450058542, 0.18805728181572548, 0.19823471133927767, 0.19481221291542827]]","[[0.6069544553756714, 0.15008129179477692, 0.13948775827884674, 0.11517356336116791, 0.05116290971636772, 0.07098740339279175, 0.10074819624423981, 0.07566817104816437, 0.08726035058498383, 0.08221926540136337]]"
9,"[[0.03400616486029631, 0.11216068410062643, 0.12538530376851945, 0.13522919359649996, 0.1439793178880382, 0.1527294421795764, 0.17192005568260912, 0.18812767226807198, 0.18842597195982896, 0.19170726856915582]]","[[0.5054246783256531, 0.14677995443344116, 0.13382956385612488, 0.08678434789180756, 0.06007283926010132, 0.0683063343167305, 0.06542959809303284, 0.07527167350053787, 0.08086764812469482, 0.07028119266033173]]"
8,"[[0.04760850310008857, 0.1075066430469442, 0.12278565101860053, 0.13507528786536757, 0.14404340124003542, 0.15445084145261292, 0.16651904340124005, 0.17271922054915856, 0.1724977856510186, 0.17471213463241808]]","[[0.40803319215774536, 0.14455446600914001, 0.11618395149707794, 0.07695812731981277, 0.06826073676347733, 0.07327862828969955, 0.07734351605176926, 0.06046948954463005, 0.05786522105336189, 0.06061749532818794]]"
7,"[[0.04480168665173277, 0.11753854262748716, 0.1322967452892344, 0.14336539728554487, 0.14876795361707734, 0.15930952694689682, 0.1707734879430755, 0.18513638160495455, 0.17933851627355382, 0.18605876927131373]]","[[0.42032390832901, 0.1779659539461136, 0.052712906152009964, 0.05651278421282768, 0.05185302346944809, 0.05690891668200493, 0.045640893280506134, 0.09869112819433212, 0.0769452154636383, 0.047822244465351105]]"
6,"[[0.029081097286763603, 0.11272672762704242, 0.13071503522710237, 0.1376105531404587, 0.14450607105381502, 0.15904661969719683, 0.17508619397391695, 0.19187528106730625, 0.1915754759406386, 0.19007645030730025]]","[[0.3154877722263336, 0.11639197915792465, 0.07883135229349136, 0.09121271222829819, 0.057007692754268646, 0.03455715999007225, 0.048353150486946106, 0.04943099617958069, 0.058048903942108154, 0.03819737583398819]]"
15,"[[0.03195280816025562, 0.11300233501290402, 0.13395600344107164, 0.14046946048912376, 0.14710581295317685, 0.16197615828929582, 0.17635492196141084, 0.19011920855352096, 0.19091802875752734, 0.18655524148949243]]","[[0.5249956846237183, 0.25259435176849365, 0.13767342269420624, 0.13636967539787292, 0.14659571647644043, 0.10567104816436768, 0.12805098295211792, 0.1030990481376648, 0.11059673130512238, 0.1123276799917221]]"
14,"[[0.0325160613609545, 0.11223285695555264, 0.13412875311393732, 0.14101219352301037, 0.14789563393208338, 0.16185918447620296, 0.17477382981513045, 0.17483938639045496, 0.17851055460862725, 0.1832306280319916]]","[[0.3496078550815582, 0.24509327113628387, 0.1335199624300003, 0.09196188300848007, 0.06608502566814423, 0.11841820180416107, 0.1268056184053421, 0.10348008573055267, 0.07292148470878601, 0.11507974565029144]]"
15,"[[0.028249608480905915, 0.1135405372846645, 0.13558607396699193, 0.1429948199012167, 0.15022286471509458, 0.16666666666666666, 0.18106252258764005, 0.1946753403204433, 0.19901216720877002, 0.19280809541019153]]","[[0.4021572470664978, 0.22525516152381897, 0.13925664126873016, 0.059302158653736115, 0.10461380332708359, 0.15388387441635132, 0.1327688992023468, 0.06856393814086914, 0.1292622834444046, 0.1319732517004013]]"
14,"[[0.0438848440317948, 0.11615790528354819, 0.13425956849909826, 0.14307661478859127, 0.15035735755794535, 0.16144546122503506, 0.17707567964731816, 0.18195177342862867, 0.1805490615189366, 0.1840892391957785]]","[[0.4508514404296875, 0.21120989322662354, 0.11057493835687637, 0.08805626630783081, 0.11649298667907715, 0.09194235503673553, 0.07859782129526138, 0.1227666363120079, 0.09683038294315338, 0.094233937561512]]"
13,"[[0.04415231835393298, 0.11302421947560191, 0.13352861327427307, 0.1383153532899907, 0.1447453025648353, 0.15789097663785095, 0.17082231906837178, 0.16725012502679146, 0.1728941916124884, 0.17275130385082518]]","[[0.3627466559410095, 0.206508070230484, 0.1361333429813385, 0.08040197938680649, 0.1148846298456192, 0.07943225651979446, 0.06274663656949997, 0.12134605646133423, 0.09842347353696823, 0.08408768475055695]]"
12,"[[0.040371479008365956, 0.11566505487758078, 0.13247371248752782, 0.14283521375393354, 0.14943587381994014, 0.1630209532581165, 0.18067388134162254, 0.1880420600199555, 0.18773505257502496, 0.18850257118735128]]","[[0.39700961112976074, 0.17589280009269714, 0.2098158895969391, 0.13661465048789978, 0.1078154593706131, 0.10655905306339264, 0.11772874742746353, 0.0765443742275238, 0.09611444175243378, 0.0771147608757019]]"
11,"[[0.03098730838964892, 0.10985660128564365, 0.12757540794461844, 0.1349925828251195, 0.14232734465139277, 0.1525465633756387, 0.16944123949233558, 0.17075984835998023, 0.17174880501071368, 0.17290258776990275]]","[[0.40820494294166565, 0.1716650426387787, 0.14281930029392242, 0.09624619781970978, 0.09700633585453033, 0.101504385471344, 0.10474041849374771, 0.09910700470209122, 0.07691432535648346, 0.07384225726127625]]"
10,"[[0.02654232424677188, 0.10410688665710187, 0.11935078909612626, 0.13064921090387374, 0.13862984218077476, 0.1517216642754663, 0.16992467718794835, 0.18185078909612626, 0.1794296987087518, 0.18498923959827834]]","[[0.35939937829971313, 0.16049039363861084, 0.11611789464950562, 0.11345722526311874, 0.10364954173564911, 0.09328396618366241, 0.08392508327960968, 0.08636899292469025, 0.11001932621002197, 0.10195697844028473]]"
9,"[[0.026823387582881254, 0.09825195901145269, 0.11221619449467551, 0.12577858147478402, 0.13210769539883463, 0.1490857946554149, 0.16676712879244524, 0.18625678119349007, 0.1951979103877838, 0.18846694796061886]]","[[0.3267447054386139, 0.36169499158859253, 0.12283072620630264, 0.052541933953762054, 0.07705895602703094, 0.06658857315778732, 0.04933852702379227, 0.09345214068889618, 0.14063850045204163, 0.06041427329182625]]"
8,"[[0.03370403994552883, 0.10587834770767136, 0.11824784384929642, 0.12936904221516116, 0.13640490240581027, 0.14605083976395825, 0.16488878801634135, 0.1780526554698139, 0.17374035406264185, 0.17453472537448933]]","[[0.3369418978691101, 0.14506462216377258, 0.08803083002567291, 0.10295214504003525, 0.07431156933307648, 0.06691929697990417, 0.05767751857638359, 0.10114911943674088, 0.06780627369880676, 0.10258299112319946]]"
7,"[[0.04368029739776952, 0.10807222517259692, 0.11802973977695168, 0.1295804567180032, 0.13582049920339884, 0.14803505045140733, 0.1618428040361126, 0.16648964418481146, 0.16808284652150823, 0.16795007966011682]]","[[0.37109535932540894, 0.12991100549697876, 0.09394471347332001, 0.07441454380750656, 0.08208630979061127, 0.058078568428754807, 0.055211134254932404, 0.08162851631641388, 0.04861868917942047, 0.04880687594413757]]"
6,"[[0.03560256219276032, 0.10844629822732013, 0.12066140324743035, 0.12989721436019663, 0.13719648443318933, 0.1470281543274244, 0.16698942350662893, 0.18829137494413825, 0.20214509161328764, 0.20676299716967078]]","[[0.31512415409088135, 0.1745777130126953, 0.08743844926357269, 0.056232206523418427, 0.07634209841489792, 0.04867037385702133, 0.04416763782501221, 0.05953063443303108, 0.047966305166482925, 0.06162853166460991]]"
13,"[[0.037089467723669306, 0.11353340883352209, 0.13165345413363533, 0.1419167610419026, 0.14857021517553795, 0.1638590033975085, 0.18070498301245752, 0.19656002265005662, 0.20243488108720273, 0.1976925254813137]]","[[0.3893394470214844, 0.17866164445877075, 0.15271154046058655, 0.11406449973583221, 0.0900927484035492, 0.11207868158817291, 0.11219353973865509, 0.0889803022146225, 0.10209637880325317, 0.1218549981713295]]"
12,"[[0.038624338624338624, 0.10642479213907785, 0.12509448223733938, 0.13204837490551777, 0.14043839758125473, 0.15525321239606954, 0.17407407407407408, 0.18972033257747545, 0.19758125472411187, 0.19712773998488284]]","[[0.4176737368106842, 0.2090252935886383, 0.12978342175483704, 0.12789258360862732, 0.1039891242980957, 0.10027670860290527, 0.05655283480882645, 0.10286472737789154, 0.06248696520924568, 0.08949185907840729]]"
11,"[[0.04236221793473702, 0.11072896569079775, 0.12918379330593072, 0.1382434359533596, 0.145541481419344, 0.15988591561110646, 0.17683080278500127, 0.18849089841456254, 0.18958141095545675, 0.1893297542152504]]","[[0.3881981372833252, 0.19721008837223053, 0.13079509139060974, 0.09163392335176468, 0.09415747970342636, 0.06103736162185669, 0.08152565360069275, 0.07058224827051163, 0.09805487096309662, 0.06719985604286194]]"
10,"[[0.04043947927245868, 0.10866955959745175, 0.12445757547779522, 0.1361831779152433, 0.14209214292309114, 0.15326377989105347, 0.16425076170252054, 0.17496076077924477, 0.17200627827532083, 0.1771766226571877]]","[[0.3616940379142761, 0.19609622657299042, 0.11637759208679199, 0.10813000053167343, 0.07654701918363571, 0.056834667921066284, 0.10708007961511612, 0.11172828823328018, 0.08604523539543152, 0.05697210878133774]]"
9,"[[0.03196995838830813, 0.10798741500050746, 0.12818430934740688, 0.1347812848878514, 0.14046483304577287, 0.15447071957779357, 0.1733482188166041, 0.18451233126966407, 0.18370039581853242, 0.18126458946513752]]","[[0.24712228775024414, 0.20157122611999512, 0.1118684783577919, 0.09581135213375092, 0.05357672646641731, 0.07703368365764618, 0.05821775272488594, 0.07905034720897675, 0.06856200098991394, 0.06754765659570694]]"
8,"[[0.024368231046931407, 0.09893953068592058, 0.11292870036101083, 0.12319494584837545, 0.13481498194945848, 0.1447427797833935, 0.16008574007220217, 0.17351083032490974, 0.1694494584837545, 0.17486462093862815]]","[[0.34785935282707214, 0.15043719112873077, 0.11962447315454483, 0.06570092588663101, 0.06152557209134102, 0.05584939569234848, 0.0624847412109375, 0.10616984218358994, 0.07441668212413788, 0.06921543180942535]]"
7,"[[0.031373063796271985, 0.10606458388028354, 0.11879758466789184, 0.12746127592543974, 0.13756891572591232, 0.15227093725387242, 0.16513520609083748, 0.17931215542137044, 0.17458650564452613, 0.177736938829089]]","[[0.36630409955978394, 0.16085590422153473, 0.08674691617488861, 0.08635492622852325, 0.05748822167515755, 0.034776486456394196, 0.05790862441062927, 0.04858987778425217, 0.051058609038591385, 0.05979000777006149]]"
6,"[[0.045319905213270145, 0.1124111374407583, 0.12144549763033176, 0.13240521327014218, 0.13951421800947866, 0.15180687203791468, 0.17431872037914692, 0.18083530805687204, 0.17890995260663506, 0.18098341232227488]]","[[0.43643301725387573, 0.16552908718585968, 0.0970095545053482, 0.053831547498703, 0.03254566714167595, 0.05817731097340584, 0.06485603749752045, 0.05854915827512741, 0.06691216677427292, 0.06352309882640839]]"
7,"[[0.025515463917525773, 0.10760309278350516, 0.12809278350515463, 0.13582474226804123, 0.1440721649484536, 0.15463917525773196, 0.1645618556701031, 0.1833762886597938, 0.18505154639175259, 0.18711340206185567]]","[[0.41303664445877075, 0.14439035952091217, 0.1158081516623497, 0.08884121477603912, 0.061675895005464554, 0.058620911091566086, 0.028843458741903305, 0.0475139282643795, 0.08685536682605743, 0.07574351131916046]]"
6,"[[0.02963877740043223, 0.10805804260574252, 0.11793763507255325, 0.12828033343624576, 0.13862303179993826, 0.14803951836986726, 0.1639394874961408, 0.16995986415560357, 0.1742821858598333, 0.17459092312442112]]","[[0.3639524579048157, 0.13413465023040771, 0.07078616321086884, 0.05379272624850273, 0.09703865647315979, 0.05441075563430786, 0.04187717288732529, 0.08813625574111938, 0.0866556242108345, 0.05725840479135513]]"
7,"[[0.02575500065368022, 0.10275853052686626, 0.11753170349065237, 0.1264217544777095, 0.13648842986011242, 0.14642436919858806, 0.16590403974375736, 0.1774088116093607, 0.17923911622434305, 0.18198457314681657]]","[[0.4244529604911804, 0.26878711581230164, 0.0715576708316803, 0.07913154363632202, 0.030226808041334152, 0.05953667312860489, 0.04980684071779251, 0.05464056879281998, 0.09633567184209824, 0.08044849336147308]]"
6,"[[0.04352490421455939, 0.11770114942528735, 0.12720306513409962, 0.1363984674329502, 0.14513409961685825, 0.15509578544061303, 0.17026819923371647, 0.17302681992337166, 0.17777777777777778, 0.17869731800766284]]","[[0.3712363839149475, 0.1754087507724762, 0.05618894100189209, 0.15122637152671814, 0.04329877346754074, 0.0905182734131813, 0.06594819575548172, 0.0573340579867363, 0.0641784816980362, 0.0561024472117424]]"
