model_name,train_acc,train_loss,val_acc,val_loss
SelMask_propose_E2,"[0.2348314606741573, 0.3752808988764045, 0.6213483146067416, 0.8421348314606741, 0.950561797752809, 0.9741573033707865, 0.9808988764044944, 0.9870786516853932]","[0.20300597354267422, 0.18695374586608973, 0.1470358596089181, 0.09887433986315566, 0.0581402973680014, 0.037341907896687475, 0.02618112030407686, 0.01893010927636302]","[0.2882882882882883, 0.49099099099099097, 0.6981981981981982, 0.954954954954955, 0.972972972972973, 0.9864864864864865, 0.972972972972973, 0.990990990990991]","[0.19937218416918506, 0.1703342773892858, 0.12863339228673024, 0.06882662950335322, 0.04278352554585483, 0.029340728311925322, 0.02347570973205137, 0.016083612954160116]"
SelMask_propose_E2,"[0.2449438202247191, 0.43426966292134833, 0.55, 0.7247191011235955, 0.7983146067415731, 0.9146067415730337, 0.9752808988764045, 0.9825842696629213]","[0.20431002639652637, 0.17670667717296085, 0.15317901215526494, 0.11626352748174346, 0.0865045992259899, 0.05930798522542032, 0.03723889301332195, 0.025387940271182005]","[0.35135135135135137, 0.4954954954954955, 0.6576576576576577, 0.8063063063063063, 0.8783783783783784, 0.9684684684684685, 0.972972972972973, 0.9819819819819819]","[0.1913720557281563, 0.16197382544612024, 0.1330897782568459, 0.09322665363281697, 0.06971825585440472, 0.04170232259475433, 0.030083679199755728, 0.02234287049856272]"
SelMask_propose_E2,"[0.2752808988764045, 0.4084269662921348, 0.5848314606741573, 0.7893258426966292, 0.8943820224719101, 0.9533707865168539, 0.9719101123595506, 0.9831460674157303]","[0.19853348095765275, 0.18177552544668818, 0.15599518083454517, 0.11507480559724101, 0.08095833983983887, 0.05263578662376725, 0.03600404167526893, 0.025774634759245293]","[0.3153153153153153, 0.4774774774774775, 0.6981981981981982, 0.8738738738738738, 0.918918918918919, 0.9594594594594594, 0.972972972972973, 0.9774774774774775]","[0.1944511661658416, 0.17155317948745177, 0.13312116023656484, 0.09509795394029703, 0.06788895017391927, 0.043555541081471486, 0.03251765292507034, 0.023017035679774242]"
SelMask_propose_E2,"[0.26292134831460673, 0.4151685393258427, 0.5769662921348314, 0.6775280898876405, 0.7814606741573034, 0.9039325842696629, 0.9443820224719102, 0.9634831460674157]","[0.19803174700629844, 0.17510789930820464, 0.15368173192726092, 0.13194758523716016, 0.11149805241756225, 0.08402625293879026, 0.06226079658176122, 0.04747762678379423]","[0.3918918918918919, 0.5630630630630631, 0.6486486486486487, 0.7072072072072072, 0.8783783783783784, 0.9279279279279279, 0.9459459459459459, 0.9594594594594594]","[0.18278283901042766, 0.15868759611705402, 0.14064201444118946, 0.1236423326505197, 0.09402044748400783, 0.0692913443655581, 0.055305861809232214, 0.04522623255983129]"
SelMask_propose_E2,"[0.2348314606741573, 0.37134831460674156, 0.5117977528089888, 0.7617977528089888, 0.9089887640449438, 0.9606741573033708, 0.9735955056179775, 0.9831460674157303]","[0.20634388253929908, 0.184980217526468, 0.16348129460650884, 0.1263456779584456, 0.08767790948407034, 0.06346070406477103, 0.046035915336916956, 0.03505976267912415]","[0.34234234234234234, 0.46846846846846846, 0.6396396396396397, 0.8828828828828829, 0.972972972972973, 0.9864864864864865, 0.972972972972973, 0.990990990990991]","[0.19279212028056653, 0.17390291057191454, 0.14866899504317893, 0.10399069871988383, 0.07168633202174762, 0.05452104342413378, 0.042711036565067535, 0.0313067398629747]"
SelMask_propose_E2,"[0.2292134831460674, 0.30168539325842697, 0.4837078651685393, 0.6308988764044944, 0.7612359550561798, 0.9095505617977528, 0.9679775280898877, 0.9837078651685394]","[0.20297164240579926, 0.19622201390480729, 0.17183621361684265, 0.14128727122639004, 0.10883133548699069, 0.07358343009366078, 0.04729228889506854, 0.03262728101082062]","[0.24774774774774774, 0.35135135135135137, 0.5405405405405406, 0.6351351351351351, 0.8603603603603603, 0.954954954954955, 0.9504504504504504, 0.963963963963964]","[0.20222414130563135, 0.19074740871652826, 0.15924741931863734, 0.13547329242165024, 0.09074212664419466, 0.059981981779004004, 0.044069561201172905, 0.03185359395302094]"
